stop_id,stop_code,stop_name,stop_lat,stop_lon
AD260,8772,"NORTH RIVER / WASHINGTON",  45.429470, -75.668489
AD270,7090,"NORTH RIVER / ONTARIO",  45.427960, -75.667553
AD300,1897,"NORTH RIVER / COLUMBUS",  45.426291, -75.666951
AD320,7092,"QUEEN MARY / NORTH RIVER",  45.424293, -75.665639
AD340,7091,"QUEEN MARY / MARION",  45.424264, -75.664195
AD360,8580,"QUEEN MARY / VANIER",  45.424554, -75.661968
AD380,7097,"QUEEN MARY / VERA",  45.424533, -75.660319
AD391,9880,"QUEEN MARY / QUILL",  45.424712, -75.657210
AD393,9882,"QUEEN MARY / LOLA",  45.425010, -75.652774
AD395,9884,"QUEEN MARY / BERNARD",  45.425754, -75.641786
AD400,7095,"QUILL / QUEEN MARY",  45.424917, -75.657490
AD420,7096,"QUILL / GLYNN",  45.425836, -75.657646
AD430,7099,"QUILL / COLUMBUS",  45.426673, -75.657619
AD440,8577,"DONALD / QUILL",  45.427616, -75.657386
AD460,7100,"DONALD / EDITH",  45.427754, -75.655428
AD470,7103,"DONALD / EVE",  45.427958, -75.654927
AD508,3578,"DONALD / TELFORD",  45.428528, -75.646931
AD645,7404,"LOLA / DONALD",  45.427672, -75.652822
AD655,7267,"LOLA / KING GEORGE",  45.425510, -75.652510
AD660,7114,"LOLA / QUEEN MARY",  45.425387, -75.652292
AD670,7113,"LOLA / PRESLAND",  45.423336, -75.651737
AD690,8589,"LOLA / COVENTRY",  45.421998, -75.650965
AD730,7117,"COVENTRY / BELFAST",  45.421528, -75.648276
AD740,1977,"COVENTRY / ST-LAURENT MALL",  45.422995, -75.642253
AD780,5867,"BELFAST / COVENTRY",  45.420955, -75.647403
AD800,4402,"FRANCES / QUEEN MARY",  45.425715, -75.647381
AD805,4403,"FRANCES / KING GEORGE",  45.426387, -75.647486
AD810,4405,"FRANCES / DONALD",  45.428243, -75.647896
AE010,1371,"TREMBLAY / VIA RAIL ( B )",  45.418402, -75.652311
AE020,1369,"TREMBLAY / VIA RAIL ( A )",  45.418325, -75.651649
AE040,1836,"TREMBLAY / BELFAST",  45.418719, -75.646827
AE050,1837,"TREMBLAY / AVENUE K",  45.418478, -75.648924
AE060,1849,"TREMBLAY / AVENUE P",  45.418748, -75.644408
AE080,7124,"TREMBLAY / AVENUE R",  45.419044, -75.642180
AE120,1574,"TREMBLAY / AVENUE U",  45.419246, -75.639110
